,watt
2,0.0
39,12105.473684210523
40,9368.769230769227
41,3293.100000000041
42,6023.853658536595
43,7212.428571428612
44,5123.720930232488
45,11916.818181818164
46,8208.400000000069
47,2066.0869565217695
48,9090.382978723417
49,5311.124999999982
50,5474.2040816326835
51,3498.119999999997
52,6339.600000000013
53,0.8870651998961421
1,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
