,id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception,latency,time_wait,time_response,throughput,time_latency,time_service,time_total_response
0,24,COMP_M,SimpleCase,ServiceA,M.X,23,64,1,39,Sensor,6.725263157894737,101.006666,107.73192915789474,100.0,101.006666,1.0066659999999956,0.0,6.725263157894744,862.1393010557572,1.0066659999999956,6.725263157894744,7.73192915789474
1,7,COMP_M,SimpleCase,ServiceA,M.G,6,73,1,48,Sensor,5.050212765957447,101.007489,106.05770176595746,100.0,101.007489,1.0074890000000067,0.0,5.050212765957454,1236.2774347997822,1.0074890000000067,5.050212765957454,6.057701765957461
2,3,COMP_M,SimpleCase,ServiceA,M.C,2,76,1,51,Sensor,1.9434,101.012121,102.955521,100.0,101.012121,1.0121209999999934,0.0,1.9434000000000111,4101.138174961382,1.0121209999999934,1.9434000000000111,2.9555210000000045
3,11,COMP_M,SimpleCase,ServiceA,M.K,10,70,1,45,Sensor,6.620454545454545,101.014961,107.63541554545456,100.0,101.014961,1.0149609999999996,0.0,6.620454545454564,1959.4218429809569,1.0149609999999996,6.620454545454564,7.635415545454563
4,16,COMP_M,SimpleCase,ServiceA,M.P,15,68,1,43,Sensor,0.5064285714285715,101.022321,101.52874957142858,100.0,101.022321,1.0223210000000051,0.0,0.5064285714285717,14600.821754698256,1.0223210000000051,0.5064285714285717,1.5287495714285768
5,23,COMP_M,SimpleCase,ServiceA,M.W,22,65,1,40,Sensor,5.204871794871795,101.030799,106.2356707948718,100.0,101.030799,1.0307990000000018,0.0,5.204871794871792,4939.163886799324,1.0307990000000018,5.204871794871792,6.235670794871794
6,19,COMP_M,SimpleCase,ServiceA,M.S,18,67,1,42,Sensor,3.346585365853658,101.033266,104.37985136585364,100.0,101.033266,1.0332659999999976,0.0,3.3465853658536417,7595.234911245967,1.0332659999999976,3.3465853658536417,4.379851365853639
7,8,COMP_M,SimpleCase,ServiceA,M.H,7,72,1,47,Sensor,1.1478260869565218,101.048544,102.19637008695652,100.0,101.048544,1.0485440000000068,0.0,1.1478260869565133,22101.921842901455,1.0485440000000068,1.1478260869565133,2.19637008695652
8,10,COMP_M,SimpleCase,ServiceA,M.J,9,71,1,46,Sensor,4.560222222222222,101.049748,105.60997022222222,100.0,101.049748,1.049747999999994,0.0,4.560222222222222,8867.78325541519,1.049747999999994,4.560222222222222,5.609970222222216
9,15,COMP_M,SimpleCase,ServiceA,M.O,14,69,1,44,Sensor,2.8465116279069766,101.055258,103.90176962790696,100.0,101.055258,1.055257999999995,0.0,2.8465116279069633,14162.291798258237,1.055257999999995,2.8465116279069633,3.9017696279069582
10,22,COMP_M,SimpleCase,ServiceA,M.V,21,66,1,41,Sensor,1.8295,101.055899,102.885399,100.0,101.055899,1.0558989999999966,0.0,1.8295000000000101,19373.057244422744,1.0558989999999966,1.8295000000000101,2.8853990000000067
11,6,COMP_M,SimpleCase,ServiceA,M.F,5,74,1,49,Sensor,2.950625,101.057199,104.007824,100.0,101.057199,1.0571989999999971,0.0,2.9506250000000023,14271.834292124606,1.0571989999999971,2.9506250000000023,4.007823999999999
12,5,COMP_M,SimpleCase,ServiceA,M.E,4,75,1,50,Sensor,3.041224489795918,101.058379,104.09960348979592,100.0,101.058379,1.0583790000000022,0.0,3.0412244897959226,14240.157650686862,1.0583790000000022,3.0412244897959226,4.099603489795925
13,1,COMP_M,SimpleCase,ServiceA,M.A,0,78,1,53,Sensor,3.7747e-05,101.058587,101.058624747,100.0,101.058587,1.0585870000000028,0.0,3.774699999326003e-05,55342.556619829535,1.0585870000000028,3.774699999326003e-05,1.058624746999996
14,4,COMP_M,SimpleCase,ServiceA,M.D,3,77,1,52,Sensor,3.522,101.05997,104.58197,100.0,101.05997,1.059970000000007,0.0,3.5219999999999914,13088.256797840197,1.059970000000007,3.5219999999999914,4.581969999999998
15,17,COMP_M,SimpleCase,ServiceA,M.Q,16,68,1,43,Sensor,3.5004761904761903,102.063012,105.5634881904762,100.0,102.063012,2.0630120000000005,0.0,3.5004761904762063,7313.936617975845,2.0630120000000005,3.5004761904762063,5.563488190476207
16,1,SINK_M,SimpleCase,Actuator,M.A2,-1,26,53,2,ServiceA,0.0,102.096927747,102.096927747,101.058624747,102.096927747,1.038302999999999,0.0,0.0,36890.00224404633,1.038302999999999,0.0,1.038302999999999
17,2,COMP_M,SimpleCase,ServiceA,M.B,1,78,1,53,Sensor,5.6164e-05,102.1037,102.103756164,100.0,102.1037,2.1037000000000035,0.0,5.6164000000080705e-05,21444.02510708457,2.1037000000000035,5.6164000000080705e-05,2.1037561640000035
18,16,SINK_M,SimpleCase,Actuator,M.P2,68,26,43,2,ServiceA,0.0,102.55844657142858,102.55844657142858,101.52874957142858,102.55844657142858,1.0296969999999988,0.0,0.0,28840.5229888016,1.0296969999999988,0.0,1.0296969999999988
19,1,SINK_M,SimpleCase,Actuator,M.A2,-1,26,53,2,ServiceA,0.0,103.111002747,103.111002747,101.058624747,103.111002747,2.0523780000000045,0.0,0.0,6857.8984962808845,2.0523780000000045,0.0,2.0523780000000045
20,9,COMP_M,SimpleCase,ServiceA,M.I,8,78,1,53,Sensor,4.8286e-05,103.157248,103.157296286,100.0,103.157248,3.15724800000001,0.0,4.8286000009056806e-05,16960.08076196113,3.1572479999999956,4.8286000009056806e-05,3.1572962860000047
21,8,SINK_M,SimpleCase,Actuator,M.H2,72,26,47,2,ServiceA,0.0,103.22655808695652,103.22655808695652,102.19637008695652,103.22655808695652,1.0301879999999954,0.0,0.0,29303.389284286102,1.0301879999999954,0.0,1.0301879999999954
22,16,SINK_M,SimpleCase,Actuator,M.P2,68,26,43,2,ServiceA,0.0,103.60818757142856,103.60818757142856,101.52874957142858,103.60818757142856,2.079437999999996,0.0,0.0,23920.40541723297,2.079437999999982,0.0,2.079437999999982
23,22,SINK_M,SimpleCase,Actuator,M.V2,66,26,41,2,ServiceA,0.0,103.933823,103.933823,102.885399,103.933823,1.0484239999999971,0.0,0.0,46187.42035664972,1.0484239999999971,0.0,1.0484239999999971
24,3,SINK_M,SimpleCase,Actuator,M.C2,76,26,51,2,ServiceA,0.0,103.985978,103.985978,102.955521,103.985978,1.0304569999999984,0.0,0.0,29556.78888104991,1.0304569999999984,0.0,1.0304569999999984
25,1,SINK_M,SimpleCase,Actuator,M.A2,-1,26,53,2,ServiceA,0.0,104.161520747,104.161520747,101.058624747,104.161520747,3.102896000000001,0.0,0.0,16280.919502297202,3.102896000000001,0.0,3.102896000000001
26,12,COMP_M,SimpleCase,ServiceA,M.L,11,78,1,53,Sensor,5.6539e-05,104.196114,104.196170539,100.0,104.196114,4.196114000000009,0.0,5.653899999913392e-05,9262.254629255887,4.196113999999994,5.653899999913392e-05,4.1961705389999935
27,8,SINK_M,SimpleCase,Actuator,M.H2,72,26,47,2,ServiceA,0.0,104.23473308695652,104.23473308695652,102.19637008695652,104.23473308695652,2.0383629999999897,0.0,0.0,4010.571227990324,2.038363000000004,0.0,2.038363000000004
28,16,SINK_M,SimpleCase,Actuator,M.P2,68,26,43,2,ServiceA,0.0,104.61112557142856,104.61112557142856,101.52874957142858,104.61112557142856,3.0823759999999965,0.0,0.0,953.1608084153274,3.0823759999999822,0.0,3.0823759999999822
29,15,SINK_M,SimpleCase,Actuator,M.O2,69,26,44,2,ServiceA,0.0,104.93734762790696,104.93734762790696,103.90176962790696,104.93734762790696,1.035578000000001,0.0,0.0,34355.693149139865,1.035578000000001,0.0,1.035578000000001
30,22,SINK_M,SimpleCase,Actuator,M.V2,66,26,41,2,ServiceA,0.0,104.941896,104.941896,102.885399,104.941896,2.056496999999993,0.0,0.0,3925.60747718087,2.056496999999993,0.0,2.056496999999993
31,3,SINK_M,SimpleCase,Actuator,M.C2,76,26,51,2,ServiceA,0.0,104.988071,104.988071,102.955521,104.988071,2.0325500000000005,0.0,0.0,1029.7409657818994,2.0325500000000005,0.0,2.0325500000000005
32,6,SINK_M,SimpleCase,Actuator,M.F2,74,26,49,2,ServiceA,0.0,105.063596,105.063596,104.007824,105.063596,1.0557720000000046,0.0,0.0,52825.79950974241,1.0557720000000046,0.0,1.0557720000000046
33,5,SINK_M,SimpleCase,Actuator,M.E2,75,26,50,2,ServiceA,0.0,105.13257548979593,105.13257548979593,104.09960348979592,105.13257548979593,1.032972000000001,0.0,0.0,31919.54864217033,1.032972000000001,0.0,1.032972000000001
34,1,SINK_M,SimpleCase,Actuator,M.A2,-1,26,53,2,ServiceA,0.0,105.187853747,105.187853747,101.058624747,105.187853747,4.129228999999995,0.0,0.0,6377.219572951762,4.129229000000009,0.0,4.129229000000009
35,13,COMP_M,SimpleCase,ServiceA,M.M,12,78,1,53,Sensor,5.9961e-05,105.215552,105.215611961,100.0,105.215552,5.215552000000002,0.0,5.996099999094895e-05,3726.887687456159,5.215552000000002,5.996099999094895e-05,5.215611960999993
36,8,SINK_M,SimpleCase,Actuator,M.H2,72,26,47,2,ServiceA,0.0,105.28327708695652,105.28327708695652,102.19637008695652,105.28327708695652,3.0869069999999965,0.0,0.0,15725.773403604338,3.0869069999999965,0.0,3.0869069999999965
37,19,SINK_M,SimpleCase,Actuator,M.S2,67,26,42,2,ServiceA,0.0,105.41097136585364,105.41097136585364,104.37985136585364,105.41097136585364,1.0311200000000014,0.0,0.0,30180.77430366976,1.0311200000000014,0.0,1.0311200000000014
38,4,SINK_M,SimpleCase,Actuator,M.D2,77,26,52,2,ServiceA,0.0,105.60784800000002,105.60784800000002,104.58197,105.60784800000002,1.0258780000000058,0.0,0.0,25225.221712523176,1.02587800000002,0.0,1.02587800000002
39,16,SINK_M,SimpleCase,Actuator,M.P2,68,26,43,2,ServiceA,0.0,105.63344657142858,105.63344657142858,101.52874957142858,105.63344657142858,4.104697000000002,0.0,0.0,5437.916611140845,4.104697000000002,0.0,4.104697000000002
40,22,SINK_M,SimpleCase,Actuator,M.V2,66,26,41,2,ServiceA,0.0,105.962299,105.962299,102.885399,105.962299,3.076899999999995,0.0,0.0,6631.024732685506,3.076899999999995,0.0,3.076899999999995
41,15,SINK_M,SimpleCase,Actuator,M.O2,69,26,44,2,ServiceA,0.0,105.98154962790696,105.98154962790696,103.90176962790696,105.98154962790696,2.0797799999999995,0.0,0.0,21253.209474078994,2.0797799999999995,0.0,2.0797799999999995
42,3,SINK_M,SimpleCase,Actuator,M.C2,76,26,51,2,ServiceA,0.0,106.00019199999998,106.00019199999998,102.955521,106.00019199999998,3.044670999999994,0.0,0.0,3981.0541106083465,3.0446709999999797,0.0,3.0446709999999797
43,6,SINK_M,SimpleCase,Actuator,M.F2,74,26,49,2,ServiceA,0.0,106.09751,106.09751,104.007824,106.09751,2.0896860000000004,0.0,0.0,16229.232525843592,2.0896860000000004,0.0,2.0896860000000004
44,5,SINK_M,SimpleCase,Actuator,M.E2,75,26,50,2,ServiceA,0.0,106.18068448979592,106.18068448979592,104.09960348979592,106.18068448979592,2.081080999999997,0.0,0.0,23117.31258898623,2.0810809999999975,0.0,2.0810809999999975
45,1,SINK_M,SimpleCase,Actuator,M.A2,-1,26,53,2,ServiceA,0.0,106.190023747,106.190023747,101.058624747,106.190023747,5.131399000000002,0.0,0.0,422.8866240960797,5.131399000000002,0.0,5.131399000000002
46,14,COMP_M,SimpleCase,ServiceA,M.N,13,78,1,53,Sensor,3.8023e-05,106.23309,106.233128023,100.0,106.23309,6.233090000000004,0.0,3.802300000188552e-05,2813.675563101776,6.233090000000004,3.802300000188552e-05,6.233128023000006
47,19,SINK_M,SimpleCase,Actuator,M.S2,67,26,42,2,ServiceA,0.0,106.43776536585364,106.43776536585364,104.37985136585364,106.43776536585364,2.0579139999999967,0.0,0.0,13019.980426781703,2.0579139999999967,0.0,2.0579139999999967
48,10,SINK_M,SimpleCase,Actuator,M.J2,71,26,46,2,ServiceA,0.0,106.61766922222222,106.61766922222222,105.60997022222222,106.61766922222222,1.0076990000000023,0.0,0.0,7640.178267518359,1.0076990000000023,0.0,1.0076990000000023
49,17,SINK_M,SimpleCase,Actuator,M.Q2,68,26,43,2,ServiceA,0.0,106.64972157142856,106.64972157142856,105.5634881904762,106.64972157142856,1.086233380952379,0.0,0.0,14982.968011653751,1.0862333809523506,0.0,1.0862333809523506
50,4,SINK_M,SimpleCase,Actuator,M.D2,77,26,52,2,ServiceA,0.0,106.667818,106.667818,104.58197,106.667818,2.0858479999999986,0.0,0.0,28750.89651786709,2.0858479999999986,0.0,2.0858479999999986
51,15,SINK_M,SimpleCase,Actuator,M.O2,69,26,44,2,ServiceA,0.0,107.01573062790698,107.01573062790698,103.90176962790696,107.01573062790698,3.1139610000000038,0.0,0.0,10976.694955396026,3.1139610000000175,0.0,3.1139610000000175
52,22,SINK_M,SimpleCase,Actuator,M.V2,66,26,41,2,ServiceA,0.0,107.01819799999998,107.01819799999998,102.885399,107.01819799999998,4.132798999999992,0.0,0.0,13525.700136880629,4.132798999999977,0.0,4.132798999999977
53,7,SINK_M,SimpleCase,Actuator,M.G2,73,26,48,2,ServiceA,0.0,107.09851076595746,107.09851076595746,106.05770176595746,107.09851076595746,1.040808999999996,0.0,0.0,39208.92305888992,1.0408089999999959,0.0,1.0408089999999959
54,6,SINK_M,SimpleCase,Actuator,M.F2,74,26,49,2,ServiceA,0.0,107.117534,107.117534,104.007824,107.117534,3.109710000000007,0.0,0.0,6439.185647536251,3.109710000000007,0.0,3.109710000000007
55,1,SINK_M,SimpleCase,Actuator,M.A2,-1,26,53,2,ServiceA,0.0,107.235253747,107.235253747,101.058624747,107.235253747,6.1766290000000055,0.0,0.0,7322.764569476321,6.1766290000000055,0.0,6.1766290000000055
56,5,SINK_M,SimpleCase,Actuator,M.E2,75,26,50,2,ServiceA,0.0,107.23906348979592,107.23906348979592,104.09960348979592,107.23906348979592,3.13946,0.0,0.0,18595.23612340976,3.1394599999999997,0.0,3.1394599999999997
57,18,COMP_M,SimpleCase,ServiceA,M.R,17,78,1,53,Sensor,3.2752e-05,107.284418,107.284450752,100.0,107.284418,7.284418000000002,0.0,3.275199999563938e-05,7046.241610722336,7.284418000000002,3.275199999563938e-05,7.284450751999998
58,23,SINK_M,SimpleCase,Actuator,M.W2,65,26,40,2,ServiceA,0.0,107.2853727948718,107.2853727948718,106.2356707948718,107.2853727948718,1.0497019999999964,0.0,0.0,47348.67610045534,1.0497020000000106,0.0,1.0497020000000106
59,19,SINK_M,SimpleCase,Actuator,M.S2,67,26,42,2,ServiceA,0.0,107.45186136585365,107.45186136585365,104.37985136585364,107.45186136585365,3.072009999999992,0.0,0.0,4588.52673005623,3.072010000000006,0.0,3.072010000000006
60,10,SINK_M,SimpleCase,Actuator,M.J2,71,26,46,2,ServiceA,0.0,107.65717622222222,107.65717622222222,105.60997022222222,107.65717622222222,2.0472060000000027,0.0,0.0,19298.009091415297,2.0472060000000027,0.0,2.0472060000000027
61,17,SINK_M,SimpleCase,Actuator,M.Q2,68,26,43,2,ServiceA,0.0,107.68932157142856,107.68932157142856,105.5634881904762,107.68932157142856,2.125833380952372,0.0,0.0,18627.988606641982,2.1258333809523577,0.0,2.1258333809523577
62,15,SINK_M,SimpleCase,Actuator,M.O2,69,26,44,2,ServiceA,0.0,108.05106462790698,108.05106462790698,103.90176962790696,108.05106462790698,4.149295000000009,0.0,0.0,8515.663504282034,4.1492950000000235,0.0,4.1492950000000235
63,7,SINK_M,SimpleCase,Actuator,M.G2,73,26,48,2,ServiceA,0.0,108.10599976595746,108.10599976595746,106.05770176595746,108.10599976595746,2.0482980000000026,0.0,0.0,3656.206274672919,2.0482980000000026,0.0,2.0482980000000026
64,6,SINK_M,SimpleCase,Actuator,M.F2,74,26,49,2,ServiceA,0.0,108.135259,108.135259,104.007824,108.135259,4.1274350000000055,0.0,0.0,4294.4346791651415,4.1274350000000055,0.0,4.1274350000000055
65,20,COMP_M,SimpleCase,ServiceA,M.T,19,78,1,53,Sensor,3.4349e-05,108.28787,108.287904349,100.0,108.28787,8.287869999999998,0.0,3.4349000003430774e-05,416.510598414002,8.287869999999998,3.4349000003430774e-05,8.287904349000002
66,1,SINK_M,SimpleCase,Actuator,M.A2,-1,26,53,2,ServiceA,0.0,108.293840747,108.293840747,101.058624747,108.293840747,7.235216000000008,0.0,0.0,8097.477670328009,7.235216000000008,0.0,7.235216000000008
67,23,SINK_M,SimpleCase,Actuator,M.W2,65,26,40,2,ServiceA,0.0,108.3161717948718,108.3161717948718,106.2356707948718,108.3161717948718,2.080500999999998,0.0,0.0,14803.645852609552,2.0805010000000124,0.0,2.0805010000000124
68,19,SINK_M,SimpleCase,Actuator,M.S2,67,26,42,2,ServiceA,0.0,108.46712136585364,108.46712136585364,104.37985136585364,108.46712136585364,4.0872699999999895,0.0,0.0,3733.543416510297,4.087270000000004,0.0,4.087270000000004
69,11,SINK_M,SimpleCase,Actuator,M.K2,70,26,45,2,ServiceA,0.0,108.63787754545454,108.63787754545454,107.63541554545456,108.63787754545454,1.0024619999999942,0.0,0.0,2455.953442624273,1.00246199999998,0.0,1.00246199999998
70,10,SINK_M,SimpleCase,Actuator,M.J2,71,26,46,2,ServiceA,0.0,108.71443922222224,108.71443922222224,105.60997022222222,108.71443922222224,3.104469000000009,0.0,0.0,18445.34443732562,3.104469000000023,0.0,3.104469000000023
71,17,SINK_M,SimpleCase,Actuator,M.Q2,68,26,43,2,ServiceA,0.0,108.71609357142856,108.71609357142856,105.5634881904762,108.71609357142856,3.152605380952366,0.0,0.0,8492.023823137828,3.1526053809523518,0.0,3.1526053809523518
72,24,SINK_M,SimpleCase,Actuator,M.X2,64,26,39,2,ServiceA,0.0,108.78021215789474,108.78021215789474,107.73192915789474,108.78021215789474,1.048282999999998,0.0,0.0,46059.12716318027,1.0482829999999979,0.0,1.0482829999999979
73,15,SINK_M,SimpleCase,Actuator,M.O2,69,26,44,2,ServiceA,0.0,109.10632262790698,109.10632262790698,103.90176962790696,109.10632262790698,5.204553000000004,0.0,0.0,10617.242249238305,5.204553000000018,0.0,5.204553000000018
74,6,SINK_M,SimpleCase,Actuator,M.F2,74,26,49,2,ServiceA,0.0,109.154144,109.154144,104.007824,109.154144,5.146320000000003,0.0,0.0,3669.612460942963,5.146320000000003,0.0,5.146320000000003
75,2,SINK_M,SimpleCase,Actuator,M.B2,-1,26,53,2,ServiceA,0.0,109.302567747,109.302567747,102.103756164,109.302567747,7.198811583000008,0.0,0.0,1212.2834303107486,7.198811582999994,0.0,7.198811582999994
76,21,COMP_M,SimpleCase,ServiceA,M.U,20,78,1,53,Sensor,5.3285e-05,109.33442,109.334473285,100.0,109.33442,9.334419999999994,0.0,5.328500000700842e-05,4986.890912720631,9.334419999999994,5.328500000700842e-05,9.334473285000001
77,19,SINK_M,SimpleCase,Actuator,M.S2,67,26,42,2,ServiceA,0.0,109.52687836585363,109.52687836585363,104.37985136585364,109.52687836585363,5.147026999999994,0.0,0.0,11610.003211562727,5.147026999999994,0.0,5.147026999999994
78,11,SINK_M,SimpleCase,Actuator,M.K2,70,26,45,2,ServiceA,0.0,109.67818954545454,109.67818954545454,107.63541554545456,109.67818954545454,2.0427739999999943,0.0,0.0,19733.9500111124,2.04277399999998,0.0,2.04277399999998
79,17,SINK_M,SimpleCase,Actuator,M.Q2,68,26,43,2,ServiceA,0.0,109.72556357142857,109.72556357142857,105.5634881904762,109.72556357142857,4.162075380952359,0.0,0.0,2275.307180484821,4.162075380952359,0.0,4.162075380952359
80,10,SINK_M,SimpleCase,Actuator,M.J2,71,26,46,2,ServiceA,0.0,109.76418722222222,109.76418722222222,105.60997022222222,109.76418722222222,4.154217000000003,0.0,0.0,11975.30124208725,4.154217000000003,0.0,4.154217000000003
81,24,SINK_M,SimpleCase,Actuator,M.X2,64,26,39,2,ServiceA,0.0,109.78687815789472,109.78687815789472,107.73192915789474,109.78687815789472,2.054948999999993,0.0,0.0,3243.8761253929038,2.0549489999999793,0.0,2.0549489999999793
82,6,SINK_M,SimpleCase,Actuator,M.F2,74,26,49,2,ServiceA,0.0,110.211343,110.211343,104.007824,110.211343,6.203519,0.0,0.0,9220.411833992932,6.203519,0.0,6.203519
83,25,COMP_M,SimpleCase,ServiceA,M.Y,24,78,1,53,Sensor,3.7789e-05,110.348886,110.348923789,100.0,110.348886,10.348885999999991,0.0,3.7789000003840556e-05,1397.8265078515792,10.348885999999993,3.7789000003840556e-05,10.348923788999997
84,2,SINK_M,SimpleCase,Actuator,M.B2,-1,26,53,2,ServiceA,0.0,110.349663747,110.349663747,102.103756164,110.349663747,8.24590758299999,0.0,0.0,5711.439223148041,8.24590758299999,0.0,8.24590758299999
85,19,SINK_M,SimpleCase,Actuator,M.S2,67,26,42,2,ServiceA,0.0,110.56014436585365,110.56014436585365,104.37985136585364,110.56014436585365,6.180292999999992,0.0,0.0,5382.592702320108,6.180293000000006,0.0,6.180293000000006
86,11,SINK_M,SimpleCase,Actuator,M.K2,70,26,45,2,ServiceA,0.0,110.71023854545454,110.71023854545454,107.63541554545456,110.71023854545454,3.074822999999995,0.0,0.0,10423.03898468304,3.0748229999999808,0.0,3.0748229999999808
87,17,SINK_M,SimpleCase,Actuator,M.Q2,68,26,43,2,ServiceA,0.0,110.76625457142856,110.76625457142856,105.5634881904762,110.76625457142856,5.2027663809523546,0.0,0.0,7821.031547557514,5.2027663809523546,0.0,5.2027663809523546
88,26,COMP_M,SimpleCase,ServiceA,M.Z,25,78,1,53,Sensor,3.7919e-05,111.401181,111.401218919,100.0,111.401181,11.401180999999994,0.0,3.791900000749138e-05,4586.790269665908,11.401180999999994,3.791900000749138e-05,11.401218919000002
89,2,SINK_M,SimpleCase,Actuator,M.B2,-1,26,53,2,ServiceA,0.0,111.407679747,111.407679747,102.103756164,111.407679747,9.303923582999984,0.0,0.0,6235.648807993879,9.303923583,0.0,9.303923583
90,11,SINK_M,SimpleCase,Actuator,M.K2,70,26,45,2,ServiceA,0.0,111.72519954545454,111.72519954545454,107.63541554545456,111.72519954545454,4.0897839999999945,0.0,0.0,3658.1394029611392,4.08978399999998,0.0,4.08978399999998
91,2,SINK_M,SimpleCase,Actuator,M.B2,-1,26,53,2,ServiceA,0.0,112.452792747,112.452792747,102.103756164,112.452792747,10.349036582999986,0.0,0.0,4359.149727435074,10.349036583,0.0,10.349036583
