id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,1,53,SimpleCase,1.058587,M.A,100,58587,0
2,LINK,1,53,SimpleCase,1.045113,M.B,100,45113,1
3,LINK,1,51,SimpleCase,1.012121,M.C,100,12121,2
4,LINK,1,52,SimpleCase,1.05997,M.D,100,59970,3
5,LINK,1,50,SimpleCase,1.058379,M.E,100,58379,4
6,LINK,1,49,SimpleCase,1.057199,M.F,100,57199,5
7,LINK,1,48,SimpleCase,1.007489,M.G,100,7489,6
8,LINK,1,47,SimpleCase,1.048544,M.H,100,48544,7
9,LINK,1,53,SimpleCase,1.053548,M.I,100,53548,8
10,LINK,1,46,SimpleCase,1.049748,M.J,100,49748,9
11,LINK,1,45,SimpleCase,1.014961,M.K,100,14961,10
12,LINK,1,53,SimpleCase,1.038866,M.L,100,38866,11
13,LINK,1,53,SimpleCase,1.019438,M.M,100,19438,12
14,LINK,1,53,SimpleCase,1.017538,M.N,100,17538,13
15,LINK,1,44,SimpleCase,1.055258,M.O,100,55258,14
16,LINK,1,43,SimpleCase,1.022321,M.P,100,22321,15
17,LINK,1,43,SimpleCase,1.040691,M.Q,100,40691,16
18,LINK,1,53,SimpleCase,1.051328,M.R,100,51328,17
19,LINK,1,42,SimpleCase,1.033266,M.S,100,33266,18
20,LINK,1,53,SimpleCase,1.003452,M.T,100,3452,19
21,LINK,1,53,SimpleCase,1.04655,M.U,100,46550,20
22,LINK,1,41,SimpleCase,1.055899,M.V,100,55899,21
23,LINK,1,40,SimpleCase,1.030799,M.W,100,30799,22
24,LINK,1,39,SimpleCase,1.006666,M.X,100,6666,23
25,LINK,1,53,SimpleCase,1.014466,M.Y,100,14466,24
26,LINK,1,53,SimpleCase,1.052295,M.Z,100,52295,25
1,LINK,53,2,SimpleCase,1.038303,M.A2,101.058624747,38303,12
1,LINK,53,2,SimpleCase,1.014075,M.A2,101.058624747,14075,13
1,LINK,53,2,SimpleCase,1.050518,M.A2,101.058624747,50518,14
1,LINK,53,2,SimpleCase,1.026333,M.A2,101.058624747,26333,15
1,LINK,53,2,SimpleCase,1.00217,M.A2,101.058624747,2170,16
1,LINK,53,2,SimpleCase,1.04523,M.A2,101.058624747,45230,17
1,LINK,53,2,SimpleCase,1.058587,M.A2,101.058624747,58587,18
16,LINK,43,2,SimpleCase,1.029697,M.P2,101.52874957142858,29697,18
16,LINK,43,2,SimpleCase,1.049741,M.P2,101.52874957142858,49741,19
16,LINK,43,2,SimpleCase,1.002938,M.P2,101.52874957142858,2938,20
16,LINK,43,2,SimpleCase,1.022321,M.P2,101.52874957142858,22321,21
2,LINK,53,2,SimpleCase,1.008727,M.B2,102.103756164,8727,19
2,LINK,53,2,SimpleCase,1.047096,M.B2,102.103756164,47096,20
2,LINK,53,2,SimpleCase,1.058016,M.B2,102.103756164,58016,21
2,LINK,53,2,SimpleCase,1.045113,M.B2,102.103756164,45113,22
8,LINK,47,2,SimpleCase,1.030188,M.H2,102.19637008695653,30188,23
8,LINK,47,2,SimpleCase,1.008175,M.H2,102.19637008695653,8175,24
8,LINK,47,2,SimpleCase,1.048544,M.H2,102.19637008695653,48544,25
22,LINK,41,2,SimpleCase,1.048424,M.V2,102.88539899999999,48424,25
22,LINK,41,2,SimpleCase,1.008073,M.V2,102.88539899999999,8073,26
22,LINK,41,2,SimpleCase,1.020403,M.V2,102.88539899999999,20403,27
22,LINK,41,2,SimpleCase,1.055899,M.V2,102.88539899999999,55899,28
