id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,1,103,SimpleCase,1.0009,M.A,100,900,0
2,LINK,1,103,SimpleCase,1.0001,M.B,100,100,1
3,LINK,1,51,SimpleCase,1.0002,M.C,100,200,2
4,LINK,1,51,SimpleCase,1.0005,M.D,100,500,3
5,LINK,1,51,SimpleCase,1.0005,M.E,100,500,4
6,LINK,1,51,SimpleCase,1.0005,M.F,100,500,5
7,LINK,1,51,SimpleCase,1.0005,M.G,100,500,6
8,LINK,1,52,SimpleCase,1.0005,M.H,100,500,7
9,LINK,1,53,SimpleCase,1.0005,M.I,100,500,8
10,LINK,1,53,SimpleCase,1.0005,M.J,100,500,9
11,LINK,1,53,SimpleCase,1.0005,M.K,100,500,10
12,LINK,1,53,SimpleCase,1.0005,M.L,100,500,11
13,LINK,1,53,SimpleCase,1.0005,M.M,100,500,12
14,LINK,1,53,SimpleCase,1.0005,M.N,100,500,13
15,LINK,1,50,SimpleCase,1.0005,M.O,100,500,14
16,LINK,1,50,SimpleCase,1.0005,M.P,100,500,15
17,LINK,1,50,SimpleCase,1.0005,M.Q,100,500,16
18,LINK,1,101,SimpleCase,1.0005,M.R,100,500,17
19,LINK,1,49,SimpleCase,1.0005,M.S,100,500,18
20,LINK,1,49,SimpleCase,1.0005,M.T,100,500,19
21,LINK,1,49,SimpleCase,1.0005,M.U,100,500,20
22,LINK,1,100,SimpleCase,1.0005,M.V,100,500,21
23,LINK,1,100,SimpleCase,1.0005,M.W,100,500,22
24,LINK,1,100,SimpleCase,1.0005,M.X,100,500,23
25,LINK,1,48,SimpleCase,1.0005,M.Y,100,500,24
26,LINK,1,48,SimpleCase,1.0005,M.Z,100,500,25
27,LINK,1,48,SimpleCase,1.0009,M.AA,100,900,26
28,LINK,1,48,SimpleCase,1.0001,M.BB,100,100,27
29,LINK,1,99,SimpleCase,1.0002,M.CC,100,200,28
30,LINK,1,99,SimpleCase,1.0005,M.DD,100,500,29
31,LINK,1,99,SimpleCase,1.0005,M.EE,100,500,30
32,LINK,1,47,SimpleCase,1.0005,M.FF,100,500,31
33,LINK,1,98,SimpleCase,1.0005,M.GG,100,500,32
34,LINK,1,46,SimpleCase,1.0005,M.HH,100,500,33
35,LINK,1,97,SimpleCase,1.0005,M.II,100,500,34
36,LINK,1,97,SimpleCase,1.0005,M.JJ,100,500,35
37,LINK,1,97,SimpleCase,1.0005,M.KK,100,500,36
38,LINK,1,45,SimpleCase,1.0005,M.LL,100,500,37
39,LINK,1,45,SimpleCase,1.0005,M.MM,100,500,38
40,LINK,1,45,SimpleCase,1.0005,M.NN,100,500,39
41,LINK,1,96,SimpleCase,1.0005,M.OO,100,500,40
42,LINK,1,96,SimpleCase,1.0005,M.PP,100,500,41
43,LINK,1,96,SimpleCase,1.0005,M.QQ,100,500,42
44,LINK,1,44,SimpleCase,1.0005,M.RR,100,500,43
45,LINK,1,95,SimpleCase,1.0005,M.SS,100,500,44
46,LINK,1,95,SimpleCase,1.0005,M.TT,100,500,45
47,LINK,1,95,SimpleCase,1.0005,M.UU,100,500,46
48,LINK,1,43,SimpleCase,1.0005,M.VV,100,500,47
49,LINK,1,43,SimpleCase,1.0005,M.WW,100,500,48
50,LINK,1,43,SimpleCase,1.0005,M.XX,100,500,49
51,LINK,1,94,SimpleCase,1.0005,M.YY,100,500,50
52,LINK,1,94,SimpleCase,1.0005,M.ZZ,100,500,51
